Price,Close,High,Low,Open,Volume,Returns,Volatility-20d
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F,,
Date,,,,,,,
2016-12-08,50.84000015258789,50.97999954223633,49.61000061035156,49.880001068115234,780062,0.021498888587156983,0.5157427208643358
2016-12-09,51.5,51.65999984741211,50.86000061035156,50.91999816894531,652040,0.012981900972290017,0.516233065413427
2016-12-12,52.83000183105469,54.5099983215332,52.18000030517578,52.58000183105469,847025,0.025825278272906482,0.5144469271360659
2016-12-13,52.97999954223633,53.40999984741211,52.349998474121094,52.5099983215332,638396,0.0028392524320048906,0.49429977429402455
2016-12-14,51.040000915527344,52.779998779296875,50.66999816894531,52.45000076293945,677957,-0.03661756593943333,0.48866917920933145
2016-12-15,50.900001525878906,51.47999954223633,49.95000076293945,50.790000915527344,551759,-0.0027429347009640948,0.48799702845271875
2016-12-16,51.900001525878906,52.08000183105469,50.5,51.099998474121094,252567,0.019646364833438623,0.4890047255846229
2016-12-19,52.119998931884766,52.52000045776367,51.5099983215332,52.150001525878906,129990,0.004238870896683178,0.48909716733171704
2016-12-20,52.22999954223633,52.70000076293945,51.849998474121094,52.11000061035156,416592,0.002110525951762199,0.47406586604664996
2016-12-21,52.4900016784668,53.790000915527344,52.31999969482422,53.560001373291016,471993,0.004978022946759086,0.47350196391212973
2016-12-22,52.95000076293945,53.189998626708984,52.08000183105469,52.52000045776367,393487,0.008763556291928376,0.47308206365274275
2016-12-23,53.02000045776367,53.279998779296875,52.2599983215332,52.68000030517578,285166,0.001321996106055101,0.4427934246701983
2016-12-27,53.900001525878906,54.099998474121094,53.029998779296875,53.290000915527344,277306,0.016597530375659808,0.44078015067488274
2016-12-28,54.060001373291016,54.369998931884766,53.560001373291016,53.93000030517578,322535,0.0029684571963377593,0.4058704222089132
2016-12-29,53.77000045776367,54.209999084472656,53.459999084472656,53.65999984741211,360194,-0.005364426714029369,0.2606718894580168
2016-12-30,53.720001220703125,54.09000015258789,53.40999984741211,53.869998931884766,271094,-0.0009298723569812761,0.23841742216210604
2017-01-03,52.33000183105469,55.2400016784668,52.11000061035156,54.20000076293945,727793,-0.025874894975109308,0.2558932273435898
2017-01-04,53.2599983215332,53.43000030517578,52.150001525878906,52.4900016784668,512641,0.017771764913767196,0.26293913715162764
2017-01-05,53.7599983215332,54.119998931884766,52.790000915527344,53.38999938964844,517362,0.00938790866987027,0.2552343913191268
2017-01-06,53.9900016784668,54.31999969482422,53.31999969482422,53.72999954223633,528333,0.00427833638606101,0.2366213908731925
2017-01-09,51.959999084472656,53.83000183105469,51.7599983215332,53.75,564893,-0.037599602350147365,0.26991259845881915
